#linux,freebsd
adduser,bsdconfig(8) usermgmt
adduser,pw(8) useradd
useradd,bsdconfig(8) usermgmt
useradd,pw(8) useradd
usermod,bsdconfig(8) usermgmt
usermod,pw(8) usermod
userdel,bsdconfig(8) userdel
userdel,pw(8) userdel
apt,pkg(8)
yum,pkg(8)
rpm,pkg(8)
pacman,pkg(8)
fdisk,gpart(8)
lvcreate,geom(8)
lvcreate,gstripe(8)
lvcreate,gmirror(8)
lvcreate,zpool(8)
mkfs,newfs(8)
mkfs,zfs(8)
mkfs,zpool(8)
fsck,zpool(8) scrub
resize2fs,growfs(8)
lsof,fstat(1)
apt-get upgrade,freebsd-update(8)
lsb-release,freebsd-version(1)
systemctl,service(8)
systemctl,rc.conf(5)
system-config,bsdconfig(8)
